L,N,K,Ratio,Success Rate
3,100,3,0.4171270718232044,0.0
3,100,3,0.06779065683175273,0.0
3,100,3,0.020049946485907955,0.0
3,100,3,0.018500486854917234,0.0
3,100,3,0.03295189658826023,0.0
3,100,3,0.07000663570006636,0.0
3,100,3,0.010970464135021098,0.0
3,100,3,0.09486166007905138,0.0
3,100,3,0.06046302539896606,0.0
3,100,3,0.21947401377582967,0.0
3,100,3,0.0549430013081667,0.0
3,100,3,0.02830540037243948,0.0
3,100,3,0.13473684210526315,0.0
3,100,3,0.020026541199179636,0.0
3,100,3,0.05975948196114709,0.0
3,100,3,0.12844378257632166,0.0
3,100,3,0.09311639549436795,0.0
3,100,3,0.06141820212171971,0.0
3,100,3,0.03247582557927386,0.0
3,100,3,0.09077098366881883,0.0
3,100,3,0.0686191455887692,0.0
3,100,3,0.04182553437319469,0.0
3,100,3,0.024744561062069924,0.0
3,100,3,0.11455565397106585,0.0
3,100,3,0.07706650093225606,0.0
3,100,3,0.01346338782799835,0.0
3,100,3,0.33043478260869563,0.0
3,100,3,0.05408438061041292,0.0
3,100,3,0.03355965082444229,0.0
3,100,3,0.036198532155740766,0.0
3,100,3,0.027486576323191,0.0
3,100,3,0.2030430220356768,0.0
3,100,3,0.09640102827763496,0.0
3,100,3,0.06726907630522089,0.0
3,100,3,0.023267785442190877,0.0
3,100,3,0.03705917513448894,0.0
3,100,3,0.10826502732240437,0.0
3,100,3,0.04031594536778015,0.0
3,100,3,0.03353602358577483,0.0
3,100,3,0.05301204819277108,0.0
3,100,3,0.13963963963963963,0.0
3,100,3,0.041332847778587034,0.0
3,100,3,0.023526689293427955,0.0
3,100,3,0.2807262569832402,0.0
3,100,3,0.03442986193966252,0.0
3,100,3,0.04224852071005917,0.0
3,100,3,0.06400527878587925,0.0
3,100,3,0.021061727061619052,0.0
3,100,3,0.05422993492407809,0.0
3,100,3,0.06472424557752342,0.0
3,100,3,0.03635768096953816,0.0
3,100,3,0.03368602893543511,0.0
3,100,3,0.04928585797626232,0.0
3,100,3,0.04905852417302799,0.0
3,100,3,0.05435480419430772,0.0
3,100,3,0.028423390081421168,0.0
3,100,3,0.1165489404641776,0.0
3,100,3,0.042438732815301854,0.0
3,100,3,0.08868857225937772,0.0
3,100,3,0.05091137649277184,0.0
3,100,3,0.035263474253656585,0.0
3,100,3,0.028920619554695062,0.0
3,100,3,0.0853731343283582,0.0
3,100,3,0.04974835462640341,0.0
3,100,3,0.032895987830386005,0.0
3,100,3,0.053853754940711464,0.0
3,100,3,0.02162838502100277,0.0
3,100,3,0.0485823754789272,0.0
3,100,3,0.052939455981281074,0.0
3,100,3,0.018900343642611683,0.0
3,100,3,0.34793187347931875,0.0
3,100,3,0.05478386487387488,0.0
3,100,3,0.03026109419688163,0.0
3,100,3,0.06559230986711903,0.0
