L,N,K,Rule,Ratio,Success Rate
3,10,3,hebbian,0.89568345323741,0.116
3,10,3,hebbian,0.91,0.116
3,10,3,hebbian,0.8971428571428571,0.116
3,10,3,hebbian,0.19558823529411765,0.116
3,10,3,hebbian,1.0038095238095237,0.116
3,10,3,hebbian,0.33238636363636365,0.116
3,10,3,hebbian,0.7265625,0.116
3,10,3,hebbian,0.589527027027027,0.116
3,10,3,hebbian,0.21923076923076923,0.116
3,10,3,hebbian,1.3641618497109826,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.5016181229773463,0.116
3,10,3,hebbian,1.0210325047801148,0.116
3,10,3,hebbian,1.0163934426229508,0.116
3,10,3,hebbian,0.8933333333333333,0.116
3,10,3,hebbian,0.3352668213457077,0.116
3,10,3,hebbian,0.5190615835777126,0.116
3,10,3,hebbian,0.3145454545454546,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.3608490566037736,0.116
3,10,3,hebbian,1.7852348993288591,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.3605898123324397,0.116
3,10,3,hebbian,0.7307692307692307,0.116
3,10,3,hebbian,0.5445544554455446,0.116
3,10,3,hebbian,0.5462962962962963,0.116
3,10,3,hebbian,0.8913649025069638,0.116
3,10,3,hebbian,0.38203463203463206,0.116
